0x0DA,Recupera 100 PV.
0x0DB,Recupera 200 PV.
0x0DC,Recupera todo o PV.
0x0DD,Recupera 100 PM.
0x0DE,Recupera 200 PM.
0x0DF,Recupera todo o seu PM.
0x0E0,Cura envenenamento.
0x0E1,Anula maldição.
0x0E2,Recupera 29 PV.
0x0E3,Recupera 290 PV.
0x0E4,"Simples, mas gostoso. "
0x0E5,"Um delicioso e apetitoso\n
cogumelo."
0x0E6,"Um sopa cremosa servida com\n
pãezinhos torrados."
0x0E7,Delícia de dar água na boca.
0x0E8,"Talharim em um caldo feito\n
de ossos de porco."
0x0E9,Tem um cereja em cima.
0x0EA,"Leve, macio e doce. "
0x0EB,"Leite light, para seus ossos."
0x0EC,Café descafeinado.
0x0ED,Beba devagar e relaxe.
0x0EE,"Balança e sacode quando\n
é movido."
0x0EF,Um morango doce e rechonchudo.
0x0F0,Um melão da melhor qualidade.
0x0F1,Preenchido com suco saboroso.
0x0F2,"Uma comida feita de carne fatiada\n
e frita, entre duas fatias de pão."
0x0F3,"Coxa de frango frita, muito\n
crocante."
0x0F4,O rei do fast food.
0x0F5,Doce e deliciosa.
0x0F6,Não é nada sem melaço da cana.
0x0F7,"Bolinho de carne frito à moda\n
russa."
0x0F8,"Pode dar a ilusão de aumento de\n
volume da massa muscular."
0x0F9,"Uma das três grandes iguarias do\n
mundo. Patê de fígado de pato."
0x0FA,"Uma das três grandes iguarias\n
do mundo. Ovas de esturjão."
0x0FB,"Uma das três grandes iguarias\n
do mundo. O raro cogumelo preto."
0x0FC,"Um verdadeiro banquete de frutos\n
do mar."
0x0FD,Macarrão al dente.
0x0FE,"Um sorvete de baunilha espesso\n
e cheio de gema de ovo."
0x0FF,"Um prato de mariscos temperado\n
com pó de curry."
0x100,"Tem uma textura firme e\n
gelatinosa."
0x101,"Um cogumelo tóxico que induz\n
alucinações."
0x102,Uma fatia de bife estragado.
0x103,"Sua data de validade venceu há\n
três anos."
0x104,"Você é corajoso o bastante para\n
abrir?"
0x105,"Uma porção do esquema de andares\n
do castelo está escrito nele."
0x106,"Uma porção do esquema de andares\n
do castelo está escrito nele."
0x107,"Uma porção do esquema de andares\n
do castelo está escrito nele."
0x108,"Notícia Exclusiva! O Abominável\n
Homem-das-Neves Descoberto!?"
0x109,"Homem-das-Neves nas montanhas?\n
Localizado perto do vilarejo!"
0x10A,"Segundo testemunhas, a besta\n
parecia estar procurando comida."
0x10B,"Alerta de Terror!\n
Seu nome é Homem-Mariposa!"
